Magasin,Produit,Revenu,Coût,Clients,Avis
Transition Énergie Ouest,Chauffe-eau solaires,40633,25274,42,4.5
Énergie Verte Nord,Chauffe-eau solaires,21012,27642,177,4.3
Énergie Verte Nord,Pompes à chaleur,45760,21805,190,4.8
ÉcoSolaires Sud,Pompes à chaleur géothermiques,14024,24379,151,3.1
Transition Énergie Ouest,Éoliennes domestiques,37382,11235,155,5.0
Transition Énergie Ouest,Batteries de stockage,49854,29523,42,3.1
Énergie Verte Nord,Systèmes photovoltaïques,44916,29388,140,3.8
ÉcoSolaires Sud,Pompes à chaleur,30063,14892,98,3.4
Génération Éolienne Est,Systèmes photovoltaïques,41460,29856,62,3.7
Énergie Verte Nord,Chauffe-eau solaires,40524,24216,219,3.6
Génération Éolienne Est,Isolants thermiques,35680,16962,46,3.9
Transition Énergie Ouest,Isolants thermiques,27889,8707,91,3.7
ÉcoSolaires Sud,Panneaux solaires,35385,29986,149,3.3
Transition Énergie Ouest,Toitures végétalisées,43907,22345,133,4.7
Transition Énergie Ouest,Toitures végétalisées,37093,15333,213,4.0
Transition Énergie Ouest,Batteries de stockage,14338,14937,157,4.5
Énergie Verte Nord,Pompes à chaleur géothermiques,34370,22603,218,3.0
Génération Éolienne Est,Isolants thermiques,19938,20808,211,3.4
Énergie Verte Nord,Isolants thermiques,36816,29947,187,3.9
Énergie Verte Nord,Toitures végétalisées,39090,18003,180,4.1
Génération Éolienne Est,Panneaux solaires,11804,16593,36,4.8
Transition Énergie Ouest,Systèmes photovoltaïques,36494,6086,171,3.8
Transition Énergie Ouest,Pompes à chaleur,19146,21817,207,3.7
Énergie Verte Nord,Pompes à chaleur géothermiques,28788,28517,214,3.5
Génération Éolienne Est,Systèmes de gestion de l'énergie,19093,7395,33,3.2
Énergie Verte Nord,Panneaux solaires thermiques,22476,7679,67,3.1
Énergie Verte Nord,Pompes à chaleur géothermiques,34102,16043,174,4.4
Transition Énergie Ouest,Panneaux solaires,11272,10138,185,3.5
Génération Éolienne Est,Toitures végétalisées,37567,9252,59,4.4
Transition Énergie Ouest,Vannes intelligentes,39333,19494,96,4.3
Génération Éolienne Est,Véhicules électriques,20537,14845,97,3.4
Énergie Verte Nord,Chauffe-eau solaires,41095,26169,245,4.5
Transition Énergie Ouest,Chargeurs pour véhicules électriques,28270,9551,240,4.3
ÉcoSolaires Sud,Systèmes photovoltaïques,47459,23203,167,3.6
Génération Éolienne Est,Isolants thermiques,48371,8704,180,4.4
Génération Éolienne Est,Systèmes photovoltaïques,46300,13489,220,3.3
Génération Éolienne Est,Éoliennes domestiques,20454,29951,74,3.3
Transition Énergie Ouest,Toitures végétalisées,45653,25699,36,4.5
Énergie Verte Nord,Isolants thermiques,26713,10452,35,5.0
Génération Éolienne Est,Chargeurs pour véhicules électriques,48829,28885,102,3.1
Énergie Verte Nord,Vannes intelligentes,10127,8103,114,3.3
Énergie Verte Nord,Panneaux solaires thermiques,34181,28189,237,3.3
Transition Énergie Ouest,Éoliennes domestiques,26165,26095,31,3.8
Transition Énergie Ouest,Systèmes de gestion de l'énergie,27397,19693,134,3.3
Énergie Verte Nord,Panneaux solaires thermiques,37895,6593,232,4.8
Transition Énergie Ouest,Véhicules électriques,47949,18676,193,4.8
Énergie Verte Nord,Chargeurs pour véhicules électriques,38599,5260,226,3.7
Énergie Verte Nord,Batteries de stockage,28547,27701,244,4.0
Énergie Verte Nord,Véhicules électriques,31640,28107,113,3.7
Transition Énergie Ouest,Chauffe-eau solaires,26263,19093,105,3.4
